OG,K-12 (KFF-acpP),K-12 ΔsbmA (KFF-acpP),K-12 (D-KFF-acpP),Salmonella (KFF-acpP),K-12 (KFF-rpsH),Klebsiella (KFF-acpP),UPEC (KFF-acpP),K-12 (RXR-acpP),Pseudomonas (RXR-acpP)
COG3071,0,0,0,0,0,0,0,0,1
COG2909,0,0,0,0,0,0,0,0,1
COG3210,0,0,0,1,0,0,0,0,1
2Z9IB,0,0,0,0,0,0,0,0,1
COG0252,0,0,0,0,0,0,0,0,1
COG0583,1,0,0,0,0,0,1,1,1
COG2812,0,0,0,0,0,0,0,0,1
COG3491,0,0,0,0,0,0,0,0,1
COG0834,0,0,0,0,0,0,0,1,0
COG0475,0,0,0,0,0,0,0,0,1
COG1454,0,0,0,0,0,0,0,0,1
COG0085,0,0,1,0,0,0,0,0,0
COG1158,0,0,0,0,0,1,0,0,0
COG0092,0,0,0,0,0,0,0,1,0
COG3520,0,0,0,0,0,0,1,0,0
COG3755,1,0,0,0,0,0,0,0,0
COG2990,0,0,0,0,0,0,0,1,0
COG3626,0,0,0,0,0,0,0,0,1
COG1959,0,0,0,0,0,0,1,0,0
COG3271,0,0,0,0,0,0,0,0,1
COG1186,1,0,0,0,0,0,0,0,0
COG0786,0,0,0,0,0,0,0,0,1
COG3539,1,0,1,0,0,0,0,0,0
COG0836,0,0,0,0,0,0,1,0,0
COG0625,0,0,0,0,0,0,0,0,1
COG1529,0,0,0,0,0,0,0,1,1
33U8P,1,1,1,0,0,0,0,0,0
COG3170,0,0,0,0,0,1,0,0,0
2Z82H,1,0,0,0,1,0,0,0,0
COG1253,0,0,0,0,0,1,0,1,0
COG0697,0,0,0,0,0,0,0,0,1
COG0784,1,0,0,0,1,0,0,0,0
COG0107,0,0,0,0,0,0,0,0,1
2Z927,1,0,0,0,0,0,0,1,0
COG2115,0,0,1,0,0,0,0,0,0
32S6F,1,0,0,0,0,0,0,0,0
31P80,1,0,0,0,0,0,0,1,0
COG1352,1,0,0,0,0,0,0,0,0
2Z8KK,1,0,0,0,0,0,0,0,0
COG2895,0,0,0,0,0,0,1,0,0
COG0015,0,0,0,0,0,0,0,0,1
COG4177,0,0,0,0,0,1,0,0,0
COG3712,0,0,0,0,0,0,0,0,1
COG1639,0,0,0,0,0,0,0,0,1
2ZQ8E,0,0,0,1,0,0,0,0,0
COG2906,0,0,0,0,0,0,1,0,0
COG0715,0,0,0,0,0,0,0,0,1
32XQ5,0,0,0,0,0,0,0,0,1
COG0042,0,1,0,0,0,0,0,0,0
COG3250,0,0,1,0,0,0,0,0,0
COG2407,0,0,0,0,0,1,0,0,0
COG0677,0,0,0,0,0,1,0,0,0
COG3121,0,0,0,0,0,0,0,0,1
COG2755,0,0,0,0,0,1,0,0,0
COG2837,0,0,0,0,0,0,0,0,1
COG0300,0,0,0,0,0,0,0,0,1
COG1305,0,0,0,0,0,0,0,0,1
COG0191,1,1,0,0,1,0,0,1,0
COG0216,0,0,0,0,0,0,1,0,0
2Z7J2,1,0,0,0,0,0,0,0,0
COG1143,0,0,0,0,0,0,0,0,1
COG1126,0,0,0,0,0,0,0,0,1
31SVN,0,0,0,0,0,0,0,0,1
31GYS,0,0,0,0,0,0,0,0,1
COG0484,0,0,0,0,0,1,0,0,0
COG2199,0,0,0,0,0,0,0,1,0
COG0384,0,0,0,0,0,0,0,0,1
COG2986,0,0,0,0,0,0,0,0,1
COG0459,0,0,0,0,0,1,0,0,0
COG3209,0,0,0,0,0,0,0,0,1
COG0361,0,0,0,0,0,0,0,1,0
COG0438,0,0,0,0,0,1,1,0,0
COG2233,1,1,0,0,1,0,0,0,0
COG2368,0,0,0,0,0,0,0,0,1
COG1142,1,0,0,0,0,0,0,0,0
COG1058,0,0,0,0,0,0,0,1,0
COG0318,0,0,0,0,0,0,0,0,1
COG1298,1,0,0,0,0,0,0,0,0
COG1133,1,0,0,1,1,1,1,0,0
COG3127,1,0,0,0,0,0,0,0,0
COG0840,1,0,0,0,0,0,0,0,1
COG0192,1,1,0,0,0,0,0,0,0
COG0772,0,0,0,0,0,1,0,0,0
COG0662,0,0,0,0,0,0,1,0,0
COG2077,0,0,0,0,0,0,0,0,1
